,cvr_nummer,navn,kommune_navn,antal_ansatte
194,36229977,Ejerforeningen Algade 22,SLAGELSE,
195,33093098,Hvid & Co v/Charlotte Mejlgård Hvid,SLAGELSE,0.0
196,33544987,Skælskør Billard Club af 76,SLAGELSE,
197,25860519,MALERMESTER P. NIELSEN OG HUSTRUS STIFTELSE FOR VELAGTEDE BORGERE I SLAGELSE BY,SLAGELSE,0.0
198,26303788,Fifo Network                      v/Thomas Jensen,SLAGELSE,1.0
199,33260164,ROSENKILDE EJENDOMME ApS,SLAGELSE,
200,17490176,IBSEN HOLDING ApS,SLAGELSE,1.0
201,19760987,T N Fysioterapi                   Thomas Nielsen,SLAGELSE,0.0
202,18016370,PSYKOLOGISK KLINIK V/LISBETH LANKEN PETERSEN,SLAGELSE,0.0
203,14920196,LÆGERNE FRODE JENSEN OG           TUE FLINDT MØLLER,SLAGELSE,3.0
204,25801210,C. H. FRUGT HOLDING ApS,SLAGELSE,
205,32760686,HF Grønland,SLAGELSE,
206,33811241,Slagelse Fotoklub,SLAGELSE,
207,35124225,NemRabat,SLAGELSE,0.0
208,33678169,Kunstnerlavet KIT,SLAGELSE,1.0
209,27227082,EJENDOMSSELSKABET BOGENSEVEJ 11 ApS,SLAGELSE,
210,34836574,Fysioterapien v/Kathrine Dybdahl,SLAGELSE,0.0
211,34830851,helleformassage,SLAGELSE,0.0
212,29883173,Jobcentrum v/Susanne J Hagelberg,SLAGELSE,0.0
213,25685873,In-Golf i/s,SLAGELSE,1.0
214,16529532,KEBAB HOUSE                       V/ LATIF IBISOGLU,SLAGELSE,4.0
215,33541678,Arnes Auto v/Arne Nordam Jensen,SLAGELSE,0.0
216,29625336,CLAUS NIELSEN'S BLIK OG VVS ApS,SLAGELSE,3.0
217,18420074,MICHAEL NIELSEN,SLAGELSE,0.0
218,25547977,Henrik Hansen,SLAGELSE,0.0
219,35132147,Byen's tagrens,SLAGELSE,0.0
220,26888026,Trelleborg Golfklub Slagelse,SLAGELSE,2.0
221,30145216,AK-ATLAS (Vægtløftning),SLAGELSE,
222,20605642,LARS AABERG,SLAGELSE,1.0
223,43601849,Grundejerforeningen  Stjernebakken,SLAGELSE,
224,27762379,Hair Fashion v/Pia Spottog,SLAGELSE,1.0
225,54755015,EJERLEJLIGHEDSFOREN NANSENSGADE,SLAGELSE,1.0
226,72253655,GÅRDEJER SØREN K JENSEN,SLAGELSE,0.0
227,67087119,EL-INSTALLATØR KNUD NIELSEN.      SLAGELSE ApS,SLAGELSE,
228,25464842,TÅRNHØJ HOLDING ApS,SLAGELSE,
229,16050989,DEN SELVEJENDE INSTITUTION SLAGELSE TENNISCENTER,SLAGELSE,
230,29681619,WWW. RICHO.DK v/Richo Wisholm Nielsen,SLAGELSE,0.0
231,33736371,Kirsten Møldrup Uddannelse og Udvikling,SLAGELSE,0.0
232,32573827,Andelsboligforeningen Fønixgården 1,SLAGELSE,
233,27729479,KISTEFLA EJENDOMSINVESTERING ApS,SLAGELSE,0.0
234,35894675,ENERGIINGENIØRERNE ApS,SLAGELSE,1.0
235,32034853,INDRETNINGSARKITEKT               JETTE B JENSEN                    HAMMERSVOLD,SLAGELSE,0.0
236,16491209,P L ENGROS V/PETER LYMAN,SLAGELSE,0.0
237,35017089,NF Nedrivning,SLAGELSE,0.0
238,30339525,Skelskør Roklub,SLAGELSE,
239,31360528,SLAGELSE AUTOMATUDLEJNING ApS,SLAGELSE,19.0
240,25918045,N L H Montage v/Niels Hansen,SLAGELSE,0.0
