cvr_nummer,navn,kommune_navn,antal_ansatte
34416559,KaffeHjørnet v/Mads Moss,SLAGELSE,0
20976802,TRAFIK- OG TRANSPORTCENTER        SJÆLLAND A/S,SLAGELSE,0
28994524,MØLLER & STRANDET INVEST ApS,SLAGELSE,2
37494437,Vikar og Gastronomi IVS,SLAGELSE,0
27369545,BOLIG - X - PERTEN ApS,SLAGELSE,1
31316170,Andersen Translation v/Elena Bang-Andersen,SLAGELSE,0
38042971,BOIHUS,SLAGELSE,
30293436,Ekstrem Byg v/Brian Christophersen,SLAGELSE,0
53489214,ODD FELLOW BYGNINGENS RESTAURANT,SLAGELSE,2
32830439,CESTEK ApS,SLAGELSE,1
38551663,Musicalforeningen Storebælt,SLAGELSE,
30001672,Anders Sværke,SLAGELSE,
36578173,K-BILER,SLAGELSE,0
49892411,"V. HOLM JENSEN RADIO, SLAGELSE A/S",SLAGELSE,10
34482098,2TAL SERVICE ApS,SLAGELSE,14
36540826,FEMALE D'LUXE ApS,SLAGELSE,2
25361563,Computer Problemer V/Torben Ryttersgaard,SLAGELSE,0
27084516,Cafe Mikkel                       v/Jane Vestergaard,SLAGELSE,7
32412890,Ejerforeningen Grønlandsvej 9A og 9B,SLAGELSE,
19122298,CEMERGI V/CARSTEN ENØE MØLLER,SLAGELSE,0
35962727,BB Multi Assistance,SLAGELSE,0
18926997,Ejner Jensens Sønner v/Claus Berger og Anette Jensen,SLAGELSE,1
29854718,Trelleborg Spejderne,SLAGELSE,
25150449,Slagelse Alternative Hud og Hår- Pleje Klinik v/Mette G. Jensen,SLAGELSE,0
33767722,E-TASKER.DK ApS,SLAGELSE,3
32756042,Ejerlejlighedsforeningen Havnegade 5-7,SLAGELSE,
37678325,Slagelse Rotary Klub,SLAGELSE,
52215218,KFUM SPEJDERNE SCT MICHAELS GRUPPE,SLAGELSE,1
82986510,BJARNE SØRENSEN. SLAGELSE ApS,SLAGELSE,22
25445147,Jesper Lerche,SLAGELSE,0
26467985,Søren Christiansen,SLAGELSE,0
40685952,Mother Fit,SLAGELSE,
